JANEIRO,,,,,,FEVEREIRO,,,,,,MARÇO,,,,,,ABRIL,,,,,,MAIO,,,,,,JUNHO,,,,,,JULHO,,,,,,AGOSTO,,,,,,SETEMBRO,,,,,,OUTUBRO,,,,,,NOVEMBRO,,,,,,DEZEMBRO,,,,
Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo
31,"R$ 3.945,38",,"R$ 97,84","R$ 4.138,17",,,,,,,,31,"R$ 1.855,22",,"R$ 0,00","R$ 1.891,67",,31,"R$ 1.851,72",,"R$ 0,00","R$ 1.867,73",,31,"R$ 1.843,30",,"R$ 112,25","R$ 3.192,24",,,,,,"R$ 1.748,79",,31,"R$ 3.351,72","R$ 733,00","R$ 0,00","R$ 3.214,08",,31,"R$ 1.851,72","R$ 433,00","R$ 22,00","R$ 3.095,17",,31,"R$ 1.851,72","R$ 433,00","R$ 22,00","R$ 2.986,26",,31,"R$ 1.851,72",,"R$ 22,00","R$ 3.310,35",,31,"R$ 1.851,72",,"R$ 22,00","R$ 3.334,44",,31,"R$ 1.851,72",,"R$ 22,00","R$ 3.358,53"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"R$ 3.516,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENTRADAS,SAÍDAS,DIÁRIO,,,,ENTRADAS,SAÍDAS,DIÁRIO,,,,ENTRADAS,SAÍDAS,DIÁRIO,,,,ENTRADAS,SAÍDAS,DIÁRIO,,,,ENTRADAS,SAÍDAS,DIÁRIO,,,,ENTRADAS,SAÍDAS,DIÁRIO,,,,ENTRADAS,SAÍDAS,DIÁRIO,,,,ENTRADAS,SAÍDAS,DIÁRIO,,,,ENTRADAS,SAÍDAS,DIÁRIO,,,,ENTRADAS,SAÍDAS,DIÁRIO,,,,ENTRADAS,SAÍDAS,DIÁRIO,,,,ENTRADAS,SAÍDAS,DIÁRIO,
,"R$ 7.084,86","R$ 3.032,49","R$ 1.862,63",,,,"R$ 4.815,74","R$ 5.147,14","R$ 1.915,67",,,,"R$ 5.556,29","R$ 4.362,26","R$ 1.193,46",,,,"R$ 7.935,35","R$ 6.264,84","R$ 1.694,45",,,,"R$ 8.135,15","R$ 4.679,49","R$ 2.131,15",,,,"R$ 5.332,09","R$ 4.987,18","R$ 1.788,36",,,,"R$ 5.541,81","R$ 3.482,68","R$ 593,84",,,,"R$ 3.516,82","R$ 2.953,73","R$ 682,00",,,,"R$ 3.516,82","R$ 2.943,73","R$ 682,00",,,,"R$ 3.516,82","R$ 2.510,73","R$ 682,00",,,,"R$ 3.516,82","R$ 2.810,73","R$ 682,00",,,,"R$ 3.516,82","R$ 2.810,73","R$ 682,00",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Saída Total,,,,,,Saída Total,,,,,,Saída Total,,,,,,Saída Total,,,,,,Saída Total,,,,,,Saída Total,,,,,,Saída Total,,,,,,Saída Total,,,,,,Saída Total,,,,,,Saída Total,,,,,,Saída Total,,,,,,Saída Total,
,,,"R$ 4.895,12",,,,,,"R$ 7.062,81",,,,,,"R$ 5.555,72",,,,,,"R$ 7.959,29",,,,,,"R$ 6.810,64",,,,,,"R$ 6.775,54",,,,,,"R$ 4.076,52",,,,,,"R$ 3.635,73",,,,,,"R$ 3.625,73",,,,,,"R$ 3.192,73",,,,,,"R$ 3.492,73",,,,,,"R$ 3.492,73",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Performance,,,,,,Performance,,,,,,Performance,,,,,,Performance,,,,,,Performance,,,,,,Performance,,,,,,Performance,,,,,,Performance,,,,,,Performance,,,,,,Performance,,,,,,Performance,,,,,,Performance,
,,,"R$ 2.189,74",,,,,,"-R$ 2.247,07",,,,,,"R$ 0,57",,,,,,"-R$ 23,94",,,,,,"R$ 1.324,51",,,,,,"-R$ 1.443,45",,,,,,"R$ 1.465,29",,,,,,"-R$ 118,91",,,,,,"-R$ 108,91",,,,,,"R$ 324,09",,,,,,"R$ 24,09",,,,,,"R$ 24,09",
